EMA,Bounce %,Support Bounce %,Resistance Bounce %,Interactions,Support Bounces,Support Penetrations,Resistance Bounces,Resistance Penetrations
17,62.16216216216216,64.25602660016625,59.81351981351981,4551,1546,860,1283,862
19,61.98938379875375,63.93873085339169,59.814453125,4333,1461,824,1225,823
18,61.85126937766794,63.88059701492538,59.59164292497626,4451,1498,847,1255,851
26,61.830238726790455,63.92177045805455,59.60591133004927,3770,1242,701,1089,738
15,61.81626187961985,63.97614314115309,59.36936936936937,4735,1609,906,1318,902
21,61.801016702977485,63.737280296022206,59.67496190959878,4131,1378,784,1175,794
16,61.78739819974282,63.868613138686136,59.45454545454546,4666,1575,891,1308,892
25,61.735493988499734,63.79746835443038,59.53538627768774,3826,1260,715,1102,749
20,61.72927002126152,63.619990995047274,59.64214711729622,4233,1413,808,1200,812
22,61.62068108376834,63.297872340425535,59.846547314578004,4023,1309,759,1170,785
24,61.51670951156812,63.53233830845772,59.361702127659576,3890,1277,733,1116,764
23,61.50723166708957,63.20431161195492,59.68421052631578,3941,1290,751,1134,766
27,61.15902964959569,63.39937434827946,58.76116071428571,3710,1216,702,1053,739
28,60.795610425240056,62.65123619147816,58.772935779816514,3645,1191,710,1025,719
29,60.08391608391609,61.93029490616622,58.07017543859649,3575,1155,710,993,717
