MA Type,MA Period,Bounce %,Support Bounce %,Resistance Bounce %,Interactions,Support Bounces,Support Penetrations,Resistance Bounces,Resistance Penetrations
EMA,19,58.706022659511035,60.3516732841747,56.882463859208045,3354,1064,699,905,686
EMA,21,58.505315822388994,60.6042654028436,56.158940397350996,3198,1023,665,848,662
EMA,17,58.48623853211009,60.46261430876816,56.23081645181093,3488,1124,735,916,713
EMA,15,58.426659382682324,60.76335877862596,55.719339622641506,3661,1194,771,945,751
EMA,18,58.18661971830986,60.09988901220865,56.039850560398506,3408,1083,719,900,706
EMA,16,58.18540433925049,60.30736618971913,55.77617328519856,3549,1138,749,927,735
EMA,20,58.11836115326252,60.011474469305796,55.99226804123711,3295,1046,697,869,683
EMA,22,57.801986542774756,59.96275605214153,55.496688741721854,3121,966,645,838,672
EMA,29,57.5204765450484,59.064748201438846,55.8641975308642,2686,821,569,724,572
EMA,28,57.293561295016374,58.972554539057,55.49698795180723,2749,838,583,737,591
EMA,25,57.11829436038515,59.01530272787758,55.088967971530245,2908,887,616,774,631
EMA,23,57.07671957671958,59.14047466324567,54.88054607508532,3024,922,637,804,661
SMA,25,57.022368903557016,59.75869410929737,54.09711684370257,2727,842,567,713,605
EMA,27,57.00603050727209,58.84377150722643,55.05124450951684,2819,855,598,752,614
EMA,24,56.96969696969697,58.986175115207374,54.85871812543074,2970,896,623,796,655
EMA,26,56.94688709110095,58.988380041011624,54.78260869565217,2843,863,600,756,624
SMA,26,56.495694496443285,59.280997798972855,53.59327217125382,2671,808,555,701,607
SMA,24,56.421356421356414,58.88501742160279,53.777112939416604,2772,845,590,719,618
SMA,27,55.695718654434245,58.17091454272864,53.120124804992194,2616,776,558,681,601
SMA,23,55.66865566865567,58.32771409305462,52.781844802342604,2849,865,618,721,645
SMA,28,55.49841772151899,57.51734772552043,53.37124289195776,2528,746,551,657,574
SMA,29,55.13754045307443,56.640625,53.5234899328859,2472,725,555,638,554
SMA,19,54.53976205385097,57.429963459196095,51.48195876288659,3194,943,699,799,753
SMA,18,54.307458143074584,56.58362989323843,51.90744215134458,3285,954,732,830,769
SMA,22,54.14965986394557,56.58761528326745,51.54711673699015,2940,859,659,733,689
SMA,21,54.1320942582144,56.33159268929504,51.85685347738015,3013,863,669,768,713
SMA,20,54.03666773882277,57.17900063251107,50.78534031413613,3109,904,677,776,752
SMA,17,53.581060833083605,56.034985422740526,50.98643649815043,3337,961,754,827,795
SMA,16,53.412377096587626,56.25698324022347,50.35971223021583,3458,1007,783,840,828
SMA,15,53.16881660123387,55.94736842105264,50.0,3566,1063,837,833,833
